"dcc","horb","cvp","swp","sac","vernalis","calaveras","cosumnes","moke","north_bay","yolo","ccc","cccoldr","ccw","id","exports","new.id"
"Closed","In",0,0,23200,1000,89,691,277,27,263,56,0,0,"0_0_23200_1000",0,1
"Closed","In",750,750,23200,1000,89,691,277,27,263,56,0,0,"750_750_23200_1000",1500,2
"Closed","In",1500,1500,23200,1000,89,691,277,27,263,56,0,0,"1500_1500_23200_1000",3000,3
"Closed","In",2250,2250,23200,1000,89,691,277,27,263,56,0,0,"2250_2250_23200_1000",4500,4
"Closed","In",3000,3000,23200,1000,89,691,277,27,263,56,0,0,"3000_3000_23200_1000",6000,5
"Closed","In",0,0,23200,4500,89,691,277,27,263,56,0,0,"0_0_23200_4500",0,6
"Closed","In",750,750,23200,4500,89,691,277,27,263,56,0,0,"750_750_23200_4500",1500,7
"Closed","In",1500,1500,23200,4500,89,691,277,27,263,56,0,0,"1500_1500_23200_4500",3000,8
"Closed","In",2250,2250,23200,4500,89,691,277,27,263,56,0,0,"2250_2250_23200_4500",4500,9
"Closed","In",3000,3000,23200,4500,89,691,277,27,263,56,0,0,"3000_3000_23200_4500",6000,10
"Closed","Out",0,0,23200,1000,89,691,277,27,263,56,0,0,"0_0_23200_1000",0,11
"Closed","Out",750,750,23200,1000,89,691,277,27,263,56,0,0,"750_750_23200_1000",1500,12
"Closed","Out",1500,1500,23200,1000,89,691,277,27,263,56,0,0,"1500_1500_23200_1000",3000,13
"Closed","Out",2250,2250,23200,1000,89,691,277,27,263,56,0,0,"2250_2250_23200_1000",4500,14
"Closed","Out",3000,3000,23200,1000,89,691,277,27,263,56,0,0,"3000_3000_23200_1000",6000,15
"Closed","Out",3750,3750,23200,1000,89,691,277,27,263,56,0,0,"3750_3750_23200_1000",7500,16
"Closed","Out",4500,4500,23200,1000,89,691,277,27,263,56,0,0,"4500_4500_23200_1000",9000,17
"Closed","Out",0,0,23200,4500,89,691,277,27,263,56,0,0,"0_0_23200_4500",0,18
"Closed","Out",750,750,23200,4500,89,691,277,27,263,56,0,0,"750_750_23200_4500",1500,19
"Closed","Out",1500,1500,23200,4500,89,691,277,27,263,56,0,0,"1500_1500_23200_4500",3000,20
"Closed","Out",2250,2250,23200,4500,89,691,277,27,263,56,0,0,"2250_2250_23200_4500",4500,21
"Closed","Out",3000,3000,23200,4500,89,691,277,27,263,56,0,0,"3000_3000_23200_4500",6000,22
"Closed","Out",3750,3750,23200,4500,89,691,277,27,263,56,0,0,"3750_3750_23200_4500",7500,23
"Closed","Out",4500,4500,23200,4500,89,691,277,27,263,56,0,0,"4500_4500_23200_4500",9000,24
"Closed","Out",0,0,23200,8000,89,691,277,27,263,56,0,0,"0_0_23200_8000",0,25
"Closed","Out",750,750,23200,8000,89,691,277,27,263,56,0,0,"750_750_23200_8000",1500,26
"Closed","Out",1500,1500,23200,8000,89,691,277,27,263,56,0,0,"1500_1500_23200_8000",3000,27
"Closed","Out",2250,2250,23200,8000,89,691,277,27,263,56,0,0,"2250_2250_23200_8000",4500,28
"Closed","Out",3000,3000,23200,8000,89,691,277,27,263,56,0,0,"3000_3000_23200_8000",6000,29
"Closed","Out",3750,3750,23200,8000,89,691,277,27,263,56,0,0,"3750_3750_23200_8000",7500,30
"Closed","Out",4500,4500,23200,8000,89,691,277,27,263,56,0,0,"4500_4500_23200_8000",9000,31
"Closed","Out",0,0,23200,11500,89,691,277,27,263,56,0,0,"0_0_23200_11500",0,32
"Closed","Out",750,750,23200,11500,89,691,277,27,263,56,0,0,"750_750_23200_11500",1500,33
"Closed","Out",1500,1500,23200,11500,89,691,277,27,263,56,0,0,"1500_1500_23200_11500",3000,34
"Closed","Out",2250,2250,23200,11500,89,691,277,27,263,56,0,0,"2250_2250_23200_11500",4500,35
"Closed","Out",3000,3000,23200,11500,89,691,277,27,263,56,0,0,"3000_3000_23200_11500",6000,36
"Closed","Out",3750,3750,23200,11500,89,691,277,27,263,56,0,0,"3750_3750_23200_11500",7500,37
"Closed","Out",4500,4500,23200,11500,89,691,277,27,263,56,0,0,"4500_4500_23200_11500",9000,38
"Closed","Out",0,0,23200,15000,89,691,277,27,263,56,0,0,"0_0_23200_15000",0,39
"Closed","Out",750,750,23200,15000,89,691,277,27,263,56,0,0,"750_750_23200_15000",1500,40
"Closed","Out",1500,1500,23200,15000,89,691,277,27,263,56,0,0,"1500_1500_23200_15000",3000,41
"Closed","Out",2250,2250,23200,15000,89,691,277,27,263,56,0,0,"2250_2250_23200_15000",4500,42
"Closed","Out",3000,3000,23200,15000,89,691,277,27,263,56,0,0,"3000_3000_23200_15000",6000,43
"Closed","Out",3750,3750,23200,15000,89,691,277,27,263,56,0,0,"3750_3750_23200_15000",7500,44
"Closed","Out",4500,4500,23200,15000,89,691,277,27,263,56,0,0,"4500_4500_23200_15000",9000,45
